BOFIL,NASDAQ,"BOFI HOLDING, INC.",FINANCE,SAVINGS INSTITUTIONS
WIFI,NASDAQ,"BOINGO WIRELESS, INC.",CONSUMER SERVICES,TELECOMMUNICATIONS EQUIPMENT
BOJA,NASDAQ,"BOJANGLES&#39;, INC.",CONSUMER SERVICES,RESTAURANTS
BOKF,NASDAQ,BOK FINANCIAL CORPORATION,FINANCE,MAJOR BANKS
BOKFL,NASDAQ,BOK FINANCIAL CORPORATION,FINANCE,MAJOR BANKS
BNSO,NASDAQ,"BONSO ELECTRONICS INTERNATIONAL, INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS
BKNG,NASDAQ,BOOKING HOLDINGS INC.,MISCELLANEOUS,BUSINESS SERVICES
BRQS,NASDAQ,"BORQS TECHNOLOGIES, INC.",TECHNOLOGY,EDP SERVICES
BOMN,NASDAQ,BOSTON OMAHA CORPORATION,FINANCE,REAL ESTATE
BPFH,NASDAQ,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",FINANCE,MAJOR BANKS
BPFHP,NASDAQ,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",FINANCE,MAJOR BANKS
BPFHW,NASDAQ,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",FINANCE,MAJOR BANKS
EPAY,NASDAQ,"BOTTOMLINE TECHNOLOGIES, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BOXL,NASDAQ,BOXLIGHT CORPORATION,MISCELLANEOUS,INDUSTRIAL MACHINERY/COMPONENTS
BCLI,NASDAQ,BRAINSTORM CELL THERAPEUTICS INC.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BVNSC,NASDAQ,BRANDES INVESTMENT TRUST,N/A,N/A
BBRG,NASDAQ,"BRAVO BRIO RESTAURANT GROUP, INC.",CONSUMER SERVICES,RESTAURANTS
BDGE,NASDAQ,"BRIDGE BANCORP, INC.",FINANCE,MAJOR BANKS
BLIN,NASDAQ,"BRIDGELINE DIGITAL, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BWB,NASDAQ,"BRIDGEWATER BANCSHARES, INC.",FINANCE,MAJOR BANKS
BRID,NASDAQ,BRIDGFORD FOODS CORPORATION,CONSUMER NON-DURABLES,SPECIALTY FOODS
BCOV,NASDAQ,BRIGHTCOVE INC.,TECHNOLOGY,EDP SERVICES
BHF,NASDAQ,"BRIGHTHOUSE FINANCIAL, INC.",FINANCE,LIFE INSURANCE
AVGO,NASDAQ,BROADCOM INC.,TECHNOLOGY,SEMICONDUCTORS
BVSN,NASDAQ,"BROADVISION, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BYFC,NASDAQ,BROADWAY FINANCIAL CORPORATION,FINANCE,SAVINGS INSTITUTIONS
BWEN,NASDAQ,"BROADWIND ENERGY, INC.",CAPITAL GOODS,METAL FABRICATIONS
BPY,NASDAQ,BROOKFIELD PROPERTY PARTNERS L.P.,FINANCE,REAL ESTATE
BRKL,NASDAQ,"BROOKLINE BANCORP, INC.",FINANCE,SAVINGS INSTITUTIONS
BRKS,NASDAQ,"BROOKS AUTOMATION, INC.",TECHNOLOGY,INDUSTRIAL MACHINERY/COMPONENTS
BRKR,NASDAQ,BRUKER CORPORATION,CAPITAL GOODS,BIOTECHNOLOGY: LABORATORY ANALYTICAL INSTRUMENTS
BMTC,NASDAQ,BRYN MAWR BANK CORPORATION,FINANCE,MAJOR BANKS
BLMT,NASDAQ,"BSB BANCORP, INC.",FINANCE,MAJOR BANKS
BSQR,NASDAQ,BSQUARE CORPORATION,MISCELLANEOUS,BUSINESS SERVICES
BLDR,NASDAQ,"BUILDERS FIRSTSOURCE, INC.",CONSUMER SERVICES,RETAIL: BUILDING MATERIALS
BFST,NASDAQ,"BUSINESS FIRST BANCSHARES, INC.",FINANCE,MAJOR BANKS
CFFI,NASDAQ,C&F FINANCIAL CORPORATION,FINANCE,MAJOR BANKS
CHRW,NASDAQ,"C.H. ROBINSON WORLDWIDE, INC.",TRANSPORTATION,OIL REFINING/MARKETING
CA,NASDAQ,CA INC.,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
CCMP,NASDAQ,CABOT MICROELECTRONICS CORPORATION,TECHNOLOGY,SEMICONDUCTORS
CDNS,NASDAQ,"CADENCE DESIGN SYSTEMS, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
CDZI,NASDAQ,"CADIZ, INC.",PUBLIC UTILITIES,WATER SUPPLY
CZR,NASDAQ,CAESARS ENTERTAINMENT CORPORATION,CONSUMER SERVICES,HOTELS/RESORTS
CSTE,NASDAQ,CAESARSTONE LTD.,CAPITAL GOODS,BUILDING MATERIALS
PRSS,NASDAQ,CAFEPRESS INC.,CONSUMER SERVICES,OTHER SPECIALTY STORES
CLBS,NASDAQ,"CALADRIUS BIOSCIENCES, INC.",HEALTH CARE,HOSPITAL/NURSING MANAGEMENT
CHY,NASDAQ,CALAMOS CONVERTIBLE AND HIGH INCOME FUND,N/A,N/A
CHI,NASDAQ,CALAMOS CONVERTIBLE OPPORTUNITIES AND INCOME FUND,N/A,N/A
CCD,NASDAQ,CALAMOS DYNAMIC CONVERTIBLE & INCOME FUND,N/A,N/A
CHW,NASDAQ,CALAMOS GLOBAL DYNAMIC INCOME FUND,N/A,N/A
CGO,NASDAQ,CALAMOS GLOBAL TOTAL RETURN FUND,N/A,N/A
CSQ,NASDAQ,CALAMOS STRATEGIC TOTAL RETURN FUND,N/A,N/A
CAMP,NASDAQ,CALAMP CORP.,TECHNOLOGY,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIONS EQUIPMENT
CVGW,NASDAQ,"CALAVO GROWERS, INC.",CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING
CALA,NASDAQ,"CALITHERA BIOSCIENCES, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
CALM,NASDAQ,"CAL-MAINE FOODS, INC.",CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING
CLMT,NASDAQ,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",ENERGY,INTEGRATED OIL COMPANIES
CRUSC,NASDAQ,CALVERT MANAGEMENT SERIES,N/A,N/A
CLXT,NASDAQ,"CALYXT, INC.",BASIC INDUSTRIES,AGRICULTURAL CHEMICALS
ABCD,NASDAQ,"CAMBIUM LEARNING GROUP, INC.",CONSUMER SERVICES,PUBLISHING
CATC,NASDAQ,CAMBRIDGE BANCORP,FINANCE,MAJOR BANKS
CAC,NASDAQ,CAMDEN NATIONAL CORPORATION,FINANCE,MAJOR BANKS
CAMT,NASDAQ,CAMTEK LTD.,CAPITAL GOODS,ELECTRONIC COMPONENTS
CSIQ,NASDAQ,CANADIAN SOLAR INC.,TECHNOLOGY,SEMICONDUCTORS
CGIX,NASDAQ,"CANCER GENETICS, INC.",HEALTH CARE,MEDICAL SPECIALITIES
CPHC,NASDAQ,CANTERBURY PARK HOLDING CORPORATION,CONSUMER SERVICES,SERVICES-MISC. AMUSEMENT & RECREATION
CPLA,NASDAQ,CAPELLA EDUCATION COMPANY,CONSUMER SERVICES,OTHER CONSUMER SERVICES
CCBG,NASDAQ,CAPITAL CITY BANK GROUP,FINANCE,MAJOR BANKS
CPLP,NASDAQ,CAPITAL PRODUCT PARTNERS L.P.,TRANSPORTATION,MARINE TRANSPORTATION
CSWC,NASDAQ,CAPITAL SOUTHWEST CORPORATION,CONSUMER NON-DURABLES,TEXTILES
CSWCL,NASDAQ,CAPITAL SOUTHWEST CORPORATION,CONSUMER NON-DURABLES,TEXTILES
CPTA,NASDAQ,CAPITALA FINANCE CORP.,N/A,N/A
CPTAG,NASDAQ,CAPITALA FINANCE CORP.,N/A,N/A
CPTAL,NASDAQ,CAPITALA FINANCE CORP.,N/A,N/A
CFFN,NASDAQ,"CAPITOL FEDERAL FINANCIAL, INC.",FINANCE,SAVINGS INSTITUTIONS
